He got all he wanted.,Lograba todo lo que quería.
Bring me my clothes.,Tráeme mi ropa.
I looked in Tom's eyes.,Miré a Tom a los ojos.
We're out of money.,Se nos ha acabado el dinero.
Tom is munching on something.,Tom está masticando algo.
The refrigerator door was open.,La puerta del refrigerador estaba abierta.
Just take one.,Coge solo una.
Tom doesn't know why Mary called him.,Tom no sabe por qué lo llamó Mary.
I can't stand him.,No le aguanto.
I know who lives in this house.,Sé quién vive en esta casa.
Tom is an excellent father.,Tom es un excelente padre.
Tom canceled his hotel reservation.,Tom canceló su reserva en el hotel.
Tom lived here three years ago.,Tom vivía aquí hace tres años.
He has a beard.,Él tiene barba.
I asked for his help.,Le pedí ayuda.
He does nothing but watch TV all day long.,Él no hace nada más que ver televisión todo el día.
Where did you buy the shoes?,¿Dónde compraste esos zapatos?
This bomb can kill a lot of people.,Esta bomba puede matar a muchas personas.
Tom told Mary that he was Canadian.,Tom le dijo a Mary que era canadiense.
How many hours did you spend with Tom?,¿Cuántas horas pasaste con Tom?
Don't mention that name.,No menciones ese nombre.
Anyone who can only think of one way to spell a word obviously lacks imagination.,Aquél al que sólo se le ocurra una forma de escribir una palabra obviamente no tiene imaginación.
You can't go home until 2:30.,No te puedes ir a casa hasta las dos y media.
She is a little shy.,Ella es un poco tímida.
TV programs have a bad influence on children.,Los programas de TV son una mala influencia para los chicos.
I'm in my car.,Estoy en mi coche.
It hardly ever rains there.,Aquí no llueve casi nunca.
Could we speak French?,¿Podríamos hablar francés?
Our teacher told us what to read.,Nuestro maestro nos dijo qué leer.
Tom swept the kitchen floor while Mary washed the dishes.,"Tom barría el piso de la cocina, mientras Mary lavaba los platos."
You drive too fast.,Manejás muy rápido.
The traffic jam caused me to be late for the meeting.,El atasco causó que llegara tarde a la reunión.
I just graduated from high school.,Acabo de terminar el instituto.
I'll put in a word for you.,Hablaré en tu favor.
Let me repair it.,Déjame arreglarlo.
Where did you find this awful dog?,¿Dónde encontraste a este horrible perro?
Russia rejected both demands.,Rusia rechazó ambas demandas.
I don't know if he's a doctor.,No sé si él es doctor.
"In the desert, water is worth its weight in gold.","En el desierto, el agua vale su peso en oro."
You and I have something in common.,Tenemos algo en común.
She caught hold of my arm so she wouldn't fall.,Se agarró de mi brazo para no caerse.
Please explain it.,Explícate.
I'd never forget the moments we've spent together.,Jamás me olvidaría de los momentos que pasamos juntos.
I waited more than two hours.,Esperé más de dos horas.
I'm a high school student.,Soy un estudiante de instituto.
I banged my elbow against the wall.,Me pegué en el codo con la pared.
Kyoto was the former capital of Japan.,Kioto fue la antigua capital de Japón.
I'm through.,He terminado.
I don't want Tom to get hurt.,No quiero que Tom se lastime.
Follow me.,Seguidme.
Tom got into Mary's car.,Tom se subió al auto de Mary.
I will send it by email this afternoon.,Lo enviaré por correo electrónico esta tarde.
He told me not to drive too fast.,Él me dijo que no condujera demasiado rápido.
I thought we'd have fun together.,Pensé que nos divertiríamos juntos.
Can I take your order now?,¿Ya puedo tomar su orden?
I'll be back in thirty minutes so I'll be in time for the concert.,Estaré de vuelta en treinta minutos para llegar a tiempo al concierto.
The meeting will take place next Sunday.,La reunión se dará a lugar el próximo domingo.
Tom was at the party and he drove me home.,Tom estaba en la celebración y me trajo a casa.
You didn't give me the correct change.,Se ha equivocado con el cambio.
Hurry up.,¡Date prisa!
Are your hands clean?,¿Tenéis las manos limpias?
Tom has known Mary since she was a little girl.,Tom conoce a Mary desde que era una niña pequeña.
This is the house where I used to live when I was young.,Esta es la casa en la que vivía cuando era pequeño.
Try this.,Prueba esto.
I want to keep my car there.,Quiero dejar mi auto ahí.
Tom remembers you.,Tom te recuerda.
"I worked hard all day, so I was very tired.","Había trabajado todo el día, así que estaba muy cansado."
A lot of banging and cussing could be heard coming out of the garage when Tom was trying to fix the lawnmower.,Un montón de golpes e imprecaciones podían oírse del garaje cuando Tom estaba tratando de reparar la cortadora de césped.
I want to help him carry the packages.,Quiero ayudarle a llevar los paquetes.
Sweet dreams!,¡Felices sueños!
I've already found what I was looking for.,Ya he encontrado lo que estaba buscando.
Did you meet her?,¿Te encontraste con ella?
She brought up the three children alone.,Ella crió sola a los tres niños.
Do you regret what happened?,¿Sientes lo sucedido?
There was no other choice but to abandon the entire project.,"No hubo más opción, que renunciar al proyecto completo."
You are two-faced.,Sos falso.
Do you think Tom talked to Mary?,¿Crees que Tom habló con Mary?
I noticed I was being observed.,Me di cuenta de que me observaban.
I often read.,Leo frecuentemente.
The offer was refused.,La oferta fue rechazada.
The garden is in front of the house.,El jardín está al frente de la casa.
I think that it's possible.,Creo que eso es posible.
She was cooking dinner at that time.,Ella estaba cocinando la cena en ese momento.
Tom is a good French speaker.,Tom habla bien francés.
Tell her that I am thirsty.,Dile que tengo sed.
I am the happiest man on earth.,¡Soy el hombre más feliz del mundo!
I'd like to go to Boston again someday.,Me gustaría volver a Boston algún día.
That's the most beautiful gift I've ever received.,Este es el regalo más bello que jamás he recibido.
Tom hasn't slept at all since the day before yesterday.,Tom no ha dormido nada desde anteayer.
I always confuse which side is port and which starboard.,Siempre confundo qué lado es babor y qué lado estribor.
It's a risk we must take.,Es un riesgo que debemos correr.
Tom can't be reasoned with.,Con Tom no se puede razonar.
I'm sure I can help.,Seguro puedo ayudar.
Tom is currently working on that problem.,Tom actualmente está trabajando en ese problema.
I love my parents.,Amo a mis padres.
What's your favorite book?,¿Cuál es tu libro preferido?
We go fishing together once in a while.,Vamos juntos de vez en cuando a pescar.
Tom is still waiting.,Tom todavía está esperando.
Mary visited her husband in prison.,Mary fue a visitar a su esposo a la cárcel.
Blackboards are not always black.,Una pizarra no tiene por qué ser necesariamente negra.
We have strict rules.,Tenemos estrictas reglas.
You are very fortunate that you have such friends.,Sois muy afortunadas de tener tales amigos.
He can't buy a car.,Él no puede comprar un coche.
"Although he is over 70, he is still active.","Aunque él supera los 70, él aún es muy activo."
I want you to be honest with me.,Quiero que seas honesto conmigo.
Tom cooked breakfast.,Tomás preparó el desayuno.
I like to ride on trains.,Me gusta andar en trenes.
He isn't able to buy a car.,Él no es capaz de comprarse un coche.
Tom deserves another chance.,Tom merece otra oportunidad.
He suddenly noticed his wallet was missing.,Repentinamente notó que le faltaba su billetera.
My wife usually doesn't drink coffee at night. I don't either.,"Mi esposa normalmente no bebe café por la noche, y yo tampoco."
I answered for him.,Respondí por él.
I won't talk to him anymore.,No hablaré más con él.
She had a crush on him.,Ella estaba enamorada de él.
She got a job as a typist.,Ella encontró un trabajo como mecanógrafo.
Tom did a lot of laundry today.,Tom lavó mucha ropa hoy.
When is the intermission?,¿Cuándo es el intermedio?
"I bought this book for myself, not for my wife.","Compré este libro para mí, no para mi esposa."
Crime doesn't pay.,La delincuencia no compensa.
You must quit drinking.,Tienen que dejar de beber.
I'll stay here.,Me voy a quedar acá.
I'm sorry you got dragged into this.,Lamento que hayas resultado involucrado en esto.
And he let the two men sleep at his home.,Y él dejó a los dos hombres dormir en su casa.
When will you go to school?,¿Cuándo vas a ir al colegio?
We're sinking.,Nos estamos hundiendo.
No one saw us.,Nadie nos vio.
"The sooner you return, the happier your father will be.","Cuanto más pronto regreses, más feliz estará tu padre."
They are considered the greatest rock band in history.,Ellos son considerados la mejor banda de rock de la historia.
The driver of the bus was injured.,El conductor del autobús resultó herido.
"Sit down, please.",Sentaos por favor.
His nose bled.,Su nariz sangraba.
Tom buttoned his shirt.,Tomás se abotonó la camisa.
"When I realized it was raining, I took my umbrella.",Tomé mi paraguas en cuanto me di cuenta de que estaba lloviendo.
I swim almost every day in the summer.,En verano nado casi todos los días.
The world is full of problems.,El mundo está lleno de problemas.
What's the number of the fax machine in this hotel?,¿Qué número tiene el fax de este hotel?
I've made my decision.,Tomé mi decisión.
He kept his promise.,Él mantuvo su promesa.
I have no idea what to do next.,No tengo idea que tengo que hacer después.
We're working to fix this bug.,Estamos trabajando para reparar ese error.
Tom can't tell me what to do.,Tom no puede decirme qué hacer.
I don't want to make a big deal out of this.,No quiero hacer de esto un escándalo.
"You can go now, sir.","Usted se puede retirar ahora, caballero."
I like movies.,Me gustan las películas.
I want to speak to Tom alone.,Quiero hablar con Tom a solas.
I'll be with you in ten minutes.,Estaré con vosotros en diez minutos.
This is your fault.,Esto es culpa tuya.
