Compare this copy with the original.,Compare usted esta copia con el original.
It hardly ever rains here.,Difícilmente llueve acá.
I went to swim in the river yesterday.,Ayer fui a nadar al río.
The church bells are ringing.,Las campanas de la iglesia están sonando.
The Communists launched a major military campaign.,Los comunistas lanzaron una importante campaña militar.
We went to see turtles on the beach.,Fuimos a ver a las tortugas a la playa.
Is he Japanese?,¿Es él japonés?
The door opened automatically.,La puerta se abrió automáticamente.
Rules are rules.,Las reglas son las reglas.
I feel great about this.,Me siento muy bien con esto.
I like my house.,Me gusta mi casa.
I guess that you can't do it.,Supongo que tú no puedes hacerlo.
Tom spent hours looking at the fish in the tank.,Tom pasaba horas mirando a los peces en el estanque.
The cat is very cute.,El gato es muy mono.
That child can count to twenty.,Este niño sabe contar hasta 20.
That day shall come.,El día vendrá.
Why don't I call you?,¿Por qué no te llamo?
He is sure to become the President sooner or later.,Seguro que él se convertirá en el presidente tarde o temprano.
There's a car coming.,Viene un carro.
"As you sow, so shall you reap.","Según lo que siembras, así será la cosecha."
She's a model.,Ella es modelo.
I left my key in my room.,Olvidé la llave en la habitación.
The TV remote control is under the couch.,El mando a distancia de la televisión está debajo del sofá.
Do you like school?,¿Te gusta el colegio?
I want to grow old with Mary.,Quiero envejecer con María.
Your pulse is normal.,Tu pulso es normal.
Tom knows how to keep his mouth shut.,Tom sabe cómo mantener la boca cerrada.
I'm freezing.,Estoy congelado.
The little kids were very curious.,Los niños pequeños eran muy curiosos.
We both have things we can't let go.,Ambos tenemos cosas que no podemos dejar atrás.
"Tom doesn't do much, does he?","Tom no hace mucho, ¿o sí?"
It's often said that women live longer than men.,Se dice a menudo que las mujeres viven más tiempo que los hombres.
Ask her what she bought.,Pregúntale lo que ha comprado.
I don't have money.,No tengo un duro.
Please follow the school rules.,Por favor obedezca las reglas de la escuela.
Who else have you asked?,¿A quién más has preguntado?
You don't even know me.,Ni siquiera me conoces.
You always seem tired.,Siempre pareces cansado.
He looks exactly like his brother.,Él se ve igual a su hermano.
These sunglasses are too big.,Estos lentes de sol son demasiado grandes.
Can you please tell me your name once more?,"¿Puedes decirme una vez más tu nombre, por favor?"
It's a very sad story.,Es una historia muy triste.
He asked me what had become of her.,Me preguntó qué había sido de ella.
Tom and Mary don't know each other very well.,Tom y Mary no se conocen muy bien.
Tom's last name is Jackson.,El apellido de Tom es Jackson.
Where is the train station?,¿Dónde está la estación de tren?
Tom showed Mary John's picture.,Tom le mostró a Mary la foto de John.
"I'll go and meet him, if it's necessary.","Iré y me reuniré con él, si es necesario."
I have to run.,Yo tengo que correr.
These boots are expensive.,Estas botas son caras.
I'll sleep on the floor.,Voy a dormir en el suelo.
I don't want to hear any more excuses.,No quiero oír más excusas.
He often comes late to school.,A menudo llega tarde al colegio.
Movie making is an exciting job.,Hacer películas es un trabajo emocionante.
Do you speak Esperanto?,¿Habla usted esperanto?
I can't remember how to go there.,No recuerdo cómo ir ahí.
I have heard quite a lot about you.,He oído mucho acerca de ti.
His father passed away last night in the hospital.,Su padre falleció en el hospital ayer por la noche.
It goes without saying that smoking is bad for the health.,No hace falta decir que fumar es malo para la salud.
Tom couldn't get Mary to stop smoking.,Tom no pudo conseguir que Mary dejara de fumar.
Tom tried to get Mary to help John.,Tom trató de conseguir que Mary le ayudara a John.
Tom wanted Mary to cook dinner.,Tom quería que Mary cocinara la cena.
Who are you trying to convince?,¿A quién estás intentando convencer?
"She sings well, to be sure, but she can't act.","Ella canta bien, sin lugar a dudas, pero no sabe actuar."
We all make mistakes.,Todos cometemos errores.
Don't talk about work. We're on vacation.,"No habléis de trabajo, estamos de vacaciones."
Just let me help you.,Solo déjame ayudarte.
They say that he is the richest person in the world.,Dicen que es la persona más rica del mundo.
I lost my hat.,Yo perdí mi sombrero.
Tom has a surprise for you.,Tom tiene una sorpresa para ti.
I've been feeling a little restless.,Me he estado sintiendo un poco agitado.
Just exactly what do you want me to do?,"Exactamente, ¿qué quieres que haga?"
Am I fat?,¿Estoy gordo?
I hope that I can do it.,Espero poder hacerlo.
Six men came forward to volunteer for the work.,Seis hombres se ofrecieron como voluntarios para hacer el trabajo.
I need more space.,Necesito mas espacio.
Tom eats breakfast every morning at six o'clock.,Tom desayuna a las seis todas las mañanas.
I don't trust you anymore.,Ya no confío en vosotros.
I'd like to study in China to improve the level of my Chinese.,Me gustaría ir a China a estudiar para mejorar mi nivel de chino.
Put the book back where you found it.,Dejad el libro donde lo encontrasteis.
I am very hungry.,Estoy muy hambriento.
The flood ruined the crops.,La inundación arruinó los cultivos.
That must've been terrible.,Eso tiene que haber sido terrible.
Tom and Mary have three cats and two dogs.,Tom y Mary tienen tres gatos y dos perros.
It was black.,Era negro.
Mary's hubby is chubby.,El marido de Mary es regordete.
Tom left everything to me.,Tom me lo dejó todo a mí.
I don't see your point.,No te entiendo.
Is that coffee I smell?,¿Es eso café lo que huelo?
It took a long time for me to convince him that I was right.,Me llevó mucho tiempo convencerlo de que yo tenía razón.
I've always dated older women.,Siempre he salido con mujeres mayores.
Tom couldn't stop coughing.,Tom no podía parar de toser.
"Finally, it's Friday.",Al fin es viernes.
"Generally speaking, we Japanese are a little too timid in speaking foreign languages.","En general, los japoneses somos un poco demasiado tímidos para hablar idiomas extranjeros."
You don't need to stand up.,No hace falta que te pares.
This is by far the best seafood restaurant in this area.,Este es por lejos el mejor restaurante de mariscos en el área.
"I'm sorry, I don't have smaller change.","Lo siento, no tengo cambio más pequeño."
She was naive.,Ella era ingenua.
"Do as I say, and no one will get hurt.",Haz lo que digo y nadie saldrá herido.
Tom hopes that it'll be fine tomorrow.,Tom espera que esté bien para mañana.
This problem seems difficult.,Este problema parece difícil.
I'll finish it in two or three minutes.,Lo terminaré en dos o tres minutos.
Tom kept reading.,Tom siguió leyendo.
Best of luck to you.,Te deseo todo lo mejor.
My husband always reads in bed.,Mi marido lee siempre en la cama.
Somebody wants to talk to you.,Alguien quiere hablar con vos.
The game is over.,La suerte está echada.
She will be back in less than ten minutes.,Ella estará de vuelta en menos de diez minutos.
The email address you entered is already in use.,"La dirección de correo electrónico que introdujiste, ya está siendo utilizada."
What do you want me to do?,¿Qué quieres que yo haga?
Tom told Mary she was fat and ugly.,Tom le dijo a Mary que era gorda y fea.
Thank you for your help.,Gracias por vuestra ayuda.
What about us?,¿Qué hay de nosotros?
These gloves kept her hands warm.,Estos guantes mantuvieron calientes sus manos.
I wish I had more time to talk with her.,Quisiera tener más tiempo para hablar con ella.
She married a musician.,Se casó con un músico.
I made my decision.,Tomé mi decisión.
Tom thought that the amulet would protect him from harm.,Tom pensó que el amuleto lo protegería del daño.
Tom wanted Mary to buy John a birthday present.,Tom quería que Mary le comprase a John un regalo de cumpleaños.
Should I repeat it?,¿Debería repetirlo?
Tom had a major accident.,Tom tuvo un grave accidente.
